
(alfonso1) c:\RecognizeTrafficSign>python Train_RecognizeTrafficSign_Resnet_Pytorch.py
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\_distributor_init.py:30: UserWarning: loaded more than 1 DLL from .libs:
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas.FB5AE2TYXYH2IJRDKGDGQ3XBKLKTF43H.gfortran-win_amd64.dll
C:\Users\Alfonso Blanco\.conda\envs\alfonso1\lib\site-packages\numpy\.libs\libopenblas64__v0.3.21-gcc_10_3_0.dll
  warnings.warn("loaded more than 1 DLL from .libs:"
C:\Users\Alfonso Blanco\AppData\Roaming\Python\Python39\site-packages\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.  warnings.warn(
C:\Users\Alfonso Blanco\AppData\Roaming\Python\Python39\site-packages\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
No. epochs: 1,             Training Loss: 2.493             Valid Loss: 1.919             Valid Accuracy: 0.432
No. epochs: 1,             Training Loss: 3.756             Valid Loss: 1.438             Valid Accuracy: 0.576
No. epochs: 1,             Training Loss: 4.607             Valid Loss: 0.812             Valid Accuracy: 0.726
No. epochs: 1,             Training Loss: 5.244             Valid Loss: 0.794             Valid Accuracy: 0.764
No. epochs: 1,             Training Loss: 5.745             Valid Loss: 0.588             Valid Accuracy: 0.813
No. epochs: 2,             Training Loss: 0.194             Valid Loss: 0.271             Valid Accuracy: 0.909
No. epochs: 2,             Training Loss: 0.45             Valid Loss: 0.235             Valid Accuracy: 0.92
No. epochs: 2,             Training Loss: 0.682             Valid Loss: 0.206             Valid Accuracy: 0.929
No. epochs: 2,             Training Loss: 0.912             Valid Loss: 0.193             Valid Accuracy: 0.934
No. epochs: 2,             Training Loss: 1.127             Valid Loss: 0.187             Valid Accuracy: 0.936
No. epochs: 3,             Training Loss: 0.067             Valid Loss: 0.178             Valid Accuracy: 0.939
No. epochs: 3,             Training Loss: 0.251             Valid Loss: 0.171             Valid Accuracy: 0.944
No. epochs: 3,             Training Loss: 0.433             Valid Loss: 0.175             Valid Accuracy: 0.941
No. epochs: 3,             Training Loss: 0.622             Valid Loss: 0.169             Valid Accuracy: 0.943
No. epochs: 3,             Training Loss: 0.786             Valid Loss: 0.171             Valid Accuracy: 0.945
No. epochs: 3,             Training Loss: 0.965             Valid Loss: 0.164             Valid Accuracy: 0.945
